run_id,run_name,family,C,penalty,max_iter,solver,accuracy,precision,recall,f1,roc_auc,n_estimators,max_depth,min_samples_leaf,random_state,learning_rate
54dbc304651943b586ef76cb236fa0ae,gradient_boosting_deeper,gradient_boosting,,,,,0.7924662402274343,0.6305732484076433,0.5294117647058824,0.5755813953488372,0.8391878180472224,200.0,3.0,,42.0,0.05
27c064c51d1a4f9b95c0046022990c1b,logistic_regression_c0.1,logistic_regression,0.1,l2,1000.0,lbfgs,0.8052594171997157,0.654320987654321,0.5668449197860963,0.6074498567335244,0.8352068892328559,,,,,
5ffe7e5ed5e1456389eb76a5fcb805b2,random_forest_shallow,random_forest,,,,,0.7853589196872779,0.6487603305785123,0.4197860962566845,0.5097402597402597,0.8340796496368503,100.0,5.0,5.0,42.0,
